"BehaviorSpace results (NetLogo 6.2.2)"
"Core_Housing_Model.nlogo"
"baseline"
"01/17/2022 22:21:24:266 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","reliance-on-network","fixed-distr-social-housing","income-socially-influenced?","hide-links?","number","clustered-social-housing","minimum-score-upper","social-housing?","minimum-score-working","different-district-colours?","number-socialhousing","minimum-score-middle","[step]","segregation_working_obj ;;average segregation measure for the working class based on distribution of turtles of the same class in neighboring patches","segregation_middle_obj ;;average segregation measure for the middle class based on distribution of turtles of the same class in neighboring patches","segregation_upper_obj ;;average segregation measure for the upper class based on distribution of turtles of the same class in neighboring patches","segregation_working_norm ;;average segregation measure for the working class based on distance to greeneries and services","segregation_middle_norm ;;average segregation measure for the middle class based on distance to greeneries and services","segregation_upper_norm ;;average segregation measure for the upper class based on distance to greeneries and services","total-working","total-middle","total-upper","working-district-1","working-district-2","working-district-3","working-district-4","working-periphery","working-centre","middle-district-1","middle-district-2","middle-district-3","middle-district-4","middle-periphery","middle-centre","upper-district-1","upper-district-2","upper-district-3","upper-district-4","upper-periphery","upper-centre","working-avg-distance-services","middle-avg-distance-services","upper-avg-distance-services","working-avg-distance-green","middle-avg-distance-green","upper-avg-distance-green","percent-cannot-afford","percent-unhappy","min-income","max-income","mean-income","std-income","min-wealth","max-wealth","avg-wealth","std-wealth","min-houseprice","max-houseprice","avg-houseprice","std-houseprice"
"3","50","true","false","true","1600","true","65","false","40","false","350","55","9","6.168539325842697","4.969981238273921","5.487804878048781","0","0","0","534","533","533","78","54","64","53","285","249","149","99","116","71","98","435","85","124","134","145","45","488","5.0550731480046","4.952124246660562","4.585036499162171","5.300311611106745","5.154371654980698","4.767689195829868","5.75","12.75","160","8476","1859.480625","1246.2909337537671","98","3011","979.39125","556.2223073627516","50","9034","1778.6652516676775","1446.311221698663"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","9","6.224719101123595","5.386491557223264","5.960600375234522","0","0","0","534","533","533","75","63","74","41","281","253","170","122","79","63","99","434","70","91","153","172","47","486","5.065545842619208","4.929602533119991","4.5214698773794435","5.1585099944345245","5.300885490156344","4.79002593838152","4.25","12","253","7586","1833.229375","1221.276776519209","142","3383","976.6125","566.201119003419","73","9198","1699.659793814433","1366.9220518078741"
"4","50","true","false","true","1600","true","65","false","40","false","350","55","8","6.007490636704119","4.898686679174484","5.735459662288931","0","0","0","534","533","533","68","82","61","47","276","258","152","85","105","78","113","420","90","109","146","153","35","498","4.919480863982521","5.053050048510218","4.582815950883664","5.192166737594749","5.294274824031139","4.719712781820863","3.6875","11.4375","210","7571","1888.4375","1303.0988552236945","118","3442","973.410625","557.017537738222","92","11381","1757.8053365676167","1483.2689889278984"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","12","5.977528089887641","5.056285178236398","5.76547842401501","0","0","0","534","533","533","79","58","81","50","266","268","105","80","157","77","114","419","128","138","73","146","48","485","5.038039529518149","4.850888366078366","4.668568843670424","5.3152379139121555","5.011946818462965","4.894397138085608","7.5","13.8125","198","7130","1845.48375","1182.768956194858","0","3680","978.4975","637.3540500455332","67","10002","1830.9969678593086","1484.6474817326414"
"3","50","true","false","true","1600","true","65","false","40","false","350","55","10","6.299625468164794","4.947467166979362","5.5966228893058165","0","0","0","534","533","533","77","50","66","52","289","245","148","101","115","68","101","432","86","123","137","148","39","494","5.042306695800599","4.948018214722552","4.6193096068185335","5.354116196680102","5.1479622795574835","4.770258327273427","5.9375","12.125","160","8501","1865.055625","1250.045418574329","0","3495","957.6075","590.336157566672","51","9042","1783.9005457853245","1447.4045375922574"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","10","6.176029962546816","5.341463414634147","5.919324577861163","0","0","0","534","533","533","78","65","73","40","278","256","162","121","90","62","98","435","74","88","147","175","49","484","5.056408377240724","4.962179147495593","4.532342908889442","5.132216978623903","5.293483527749617","4.8321643446826625","4.125","11.5625","254","7609","1838.721875","1224.9497732512768","0","3424","979.000625","589.1023269300133","75","9205","1704.6579745300182","1367.904210929147"
"4","50","true","false","true","1600","true","65","false","40","false","350","55","9","6.082397003745318","4.947467166979362","5.652908067542214","0","0","0","534","533","533","65","82","59","50","278","256","151","90","107","77","108","425","93","110","142","150","38","495","4.857858721535951","5.12192829764511","4.589504035691055","5.248193806214322","5.255624095681186","4.7303297533914215","4","11.1875","211","7594","1894.09875","1307.0118645242642","118","3442","973.410625","557.0175377382218","96","11388","1762.9781685870225","1484.4096447595384"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","13","6.0299625468164795","5.071294559099437","5.75797373358349","0","0","0","534","533","533","79","57","82","50","266","268","114","84","150","72","113","420","123","138","74","150","48","485","5.035578497053258","4.944490539737581","4.567243940740428","5.3357500627130054","5.036665896039817","4.847878922414028","7.062499999999999","13.5","199","7151","1850.998125","1186.3182699090223","0","4087","996.251875","666.965620662678","69","10013","1836.3911461491814","1485.8237550307892"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","11","6.164794007490637","5.322701688555347","5.9793621013133205","0","0","0","534","533","533","66","69","78","41","280","254","166","120","85","62","100","433","78","88","151","171","45","488","5.029952125394623","4.9365364417005395","4.541334166612097","5.107928873145749","5.302954699420321","4.840394504190835","5.25","11.9375","255","7632","1844.225625","1228.633884333303","0","3466","990.230625","607.5596084836222","77","9212","1709.6658580958156","1368.8892396898739"
"3","50","true","false","true","1600","true","65","false","40","false","350","55","11","6.307116104868914","4.902439024390244","5.626641651031895","0","0","0","534","533","533","76","48","71","49","290","244","149","102","111","72","99","434","86","126","134","152","35","498","5.086824636597166","4.9409693218539354","4.542517415077379","5.310658582999187","5.1330686380532375","4.788392407323671","6.3125","13","160","8527","1870.645","1253.8089670295185","0","3981","972.64","611.2226066023442","52","9050","1789.152819890843","1448.5024840476121"
"4","50","true","false","true","1600","true","65","false","40","false","350","55","10","6.134831460674158","4.924953095684803","5.5966228893058165","0","0","0","534","533","533","68","78","62","48","278","256","152","89","109","78","105","428","93","110","138","150","42","491","4.950098000695666","5.036775099710633","4.579098091334094","5.240172876607826","5.305627654323279","4.699752312821711","3.6875","10.0625","212","7617","1899.77625","1310.9425746222291","0","3379","983.300625","584.5789772241997","100","11395","1768.1649484536083","1485.5602750427895"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","14","6.086142322097379","5.018761726078799","5.74671669793621","0","0","0","534","533","533","74","62","83","46","269","265","117","77","153","76","110","423","121","141","75","147","49","484","5.062318668706513","4.851895343228031","4.634506889752996","5.378775708997955","5.026932304576419","4.804957086845632","7.5625","13.125","200","7172","1856.529375","1189.873241397475","0","4836","1016.181875","699.0339953290022","71","10024","1841.8010915706489","1487.010710659245"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","12","6.157303370786517","5.266416510318949","5.945590994371482","0","0","0","534","533","533","73","69","74","38","280","254","168","117","81","67","100","433","73","87","157","170","46","487","5.0970988678061815","4.909084045218065","4.544179009502554","5.142110109807312","5.263889475745996","4.836844014717413","4.875","11.625","256","7655","1849.745625","1232.3235484232052","0","3509","1012.6425","629.6698806063692","79","9219","1714.691934505761","1369.8809585937274"
"3","50","true","false","true","1600","true","65","false","40","false","350","55","12","6.235955056179775","4.924953095684803","5.592870544090056","0","0","0","534","533","533","76","54","66","51","287","247","152","97","111","72","101","432","84","123","138","149","39","494","5.068914896746825","4.893729943361624","4.61681543648383","5.289797436189572","5.182899865092515","4.810830857408565","6.3125","13.1875","160","8553","1876.2525","1257.5802340295786","0","4469","991.79625","640.6434859057405","53","9058","1794.4190418435414","1449.6074517691227"
